"Update Cookie Settings","Cookie instellingen bijwerken"
"Cookie Settings","Cookie instellingen"
"Learn more","Meer informatie"
"Necessary cookies","Noodzakelijke cookies"
"Preferences cookies","Voorkeurscookies"
"Toggle me","Schakel mij in"
"Statistic cookies","Statistische cookies"
"Marketing cookies","Marketing cookies"
"Customize","Aanpassen"
"Accept all","Alles accepteren"
"Deny all","Alles weigeren"
"Manage Settings","Instellingen wijzigen"
"Block all cookies","Blokkeer alle cookies"
"To use these Services, we need your consent. By clicking on ""Accept all"", you declare your consent to the use of all Services. You can also declare your consent by individually clicking on the sliders for each category of cookies and save.","Om gebruik te maken van deze diensten hebben wij uw toestemming nodig. Door op ""Alles accepteren"" te klikken gaat u akkoord met het gebruik van al deze diensten. U kunt ook toestemming geven voor specifieke diensten door de cookies in een categorie te accepteren en op te slaan."
"Necessary cookies help make a website usable by enabling basic functions like page navigation and access to secure areas of the website. The website cannot function properly without these cookies.","Noodzakelijke cookies helpen een website bruikbaarder te maken, door basisfuncties als paginanavigatie en toegang tot beveiligde gedeelten van de website mogelijk te maken. Zonder deze cookies kan de website niet naar behoren werken."
"Preference cookies enable a website to remember information that changes the way the website behaves or looks, like your preferred language or the region that you are in.","Voorkeurscookies zorgen ervoor dat een website informatie kan onthouden die van invloed is op het gedrag en de vormgeving van de website, zoals de taal van uw voorkeur of de regio waar u woont."
"Statistic cookies help website owners to understand how visitors interact with websites by collecting and reporting information anonymously.","Statistische cookies helpen eigenaren van websites begrijpen hoe bezoekers hun website gebruiken, door anoniem gegevens te verzamelen en te rapporteren."
"Marketing cookies are used to track visitors across websites. The intention is to display ads that are relevant and engaging for the individual user and thereby more valuable for publishers and third party advertisers.","Marketingcookies worden gebruikt om bezoekers te volgen wanneer ze verschillende websites bezoeken. Hun doel is advertenties weergeven die zijn toegesneden op en relevant zijn voor de individuele gebruiker. Deze advertenties worden zo waardevoller voor uitgevers en externe adverteerders."
"We use our own cookies as well as third-party cookies on our websites to enhance your experience, analyze our traffic, and for security and marketing. Select ""Accept All"" to allow them to be used. Read our <a href=""%1"" class=""%2"">Cookie Policy</a>.","We gebruiken onze eigen cookies en die van derde partijen op onze website om uw bezoek te verbeteren, ons verkeer te analyseren en voor veiligheid en marketing. Selecteer ""Alles accepteren"" om toe te staan dat ze worden gebruikt. Lees ons <a href=""%1"" class=""%2"">cookiebeleid</a>."
